,Car code,Consumption load (KWH) per 100 km,The amount of residual load KWH,KWH energy storage power,Power supply generation capacity (KW),Power supply capacity KW,Ms data recording time,Electricity price per hour KW,Traffic situation,Time to reach power supply ms,Distance traveled Km,Maximum number of cars in a crowd (cars),Charging / discharging frequency,Consumption range per km,Charger standard,Battery Type,
,26870,55,65,120,1440,11520,77,301,smooth,59,73,217,1,2,1,Molten salt battery,
,26871,59,541,600,2400,19200,102,352,heavy,57,34,41,1,2,2,Zinc-bromine battery,
,26743,27,181,208,624,4992,67,450,smooth,50,9,101,2,2,3,Oxidation battery ‌ Vanadium reduction,
,26658,41,79,120,1080,8640,36,289,semi-heavy,58,9,111,2,2,3,Nickel-Cadmium battery,
,26715,74,166,240,720,5760,76,252,smooth,31,39,139,1,2,1,Nickel battery - metal hydride,
,26677,32,88,120,1080,8640,71,466,heavy,26,76,85,1,1,2,Nickel-iron battery,
,26652,31,177,208,2912,23296,93,443,semi-heavy,21,45,33,1,2,3,Acid battery,
,26652,55,545,600,5400,43200,109,314,smooth,48,11,184,1,2,2,On-air battery,
,26667,43,165,208,2080,16640,70,263,semi-heavy,20,59,224,2,1,3,Aluminum battery - air,
,27845,23,217,240,3360,26880,59,302,smooth,21,48,28,2,2,3,Molten salt battery,
,26912,27,573,600,1200,9600,32,496,heavy,24,40,118,2,2,1,Zinc-bromine battery,
,27091,68,52,120,480,3840,57,227,smooth,12,49,127,2,1,2,Oxidation battery ‌ Vanadium reduction,
,26909,43,197,240,480,3840,76,519,semi-heavy,41,37,85,1,1,3,Nickel-Cadmium battery,
,26905,72,228,300,2700,21600,32,525,smooth,22,62,113,1,2,2,Nickel battery - metal hydride,
,26848,26,178,204,408,3264,110,308,heavy,43,75,21,2,1,2,Nickel-iron battery,
,26803,22,578,600,9600,76800,64,251,smooth,27,53,122,1,1,2,Acid battery,
,26855,76,224,300,4800,38400,46,364,semi-heavy,29,57,200,1,2,3,On-air battery,
,26735,25,95,120,960,7680,54,220,smooth,49,14,208,1,2,2,Aluminum battery - air,
,26693,26,214,240,960,7680,79,460,smooth,32,16,214,2,1,1,Molten salt battery,
,26635,67,141,208,416,3328,83,509,heavy,23,77,78,1,2,1,Zinc-bromine battery,
,26365,75,45,120,1800,14400,66,302,smooth,44,47,46,2,2,2,Oxidation battery ‌ Vanadium reduction,
,26264,55,245,300,4200,33600,90,368,semi-heavy,54,73,137,1,1,3,Nickel-Cadmium battery,
,26411,69,171,240,3360,26880,99,249,smooth,59,40,202,1,2,1,Nickel battery - metal hydride,
,26440,58,62,120,720,5760,71,481,heavy,58,46,59,1,2,1,Nickel-iron battery,
,26439,76,524,600,1800,14400,33,474,semi-heavy,48,67,198,2,2,2,Acid battery,
,26406,47,161,208,1248,9984,55,277,smooth,15,13,291,2,1,2,On-air battery,
,26325,29,91,120,1800,14400,37,467,semi-heavy,21,53,219,1,2,2,Aluminum battery - air,
,26291,23,217,240,2640,21120,107,447,smooth,16,40,224,2,2,3,Molten salt battery,
,26165,46,74,120,240,1920,67,515,heavy,25,62,142,1,2,2,Zinc-bromine battery,
,25938,63,145,208,3328,26624,77,345,smooth,46,63,165,1,2,2,Oxidation battery ‌ Vanadium reduction,
,25681,79,521,600,7800,62400,98,356,semi-heavy,41,13,89,2,2,3,Nickel-Cadmium battery,
,25558,62,146,208,1664,13312,113,484,smooth,53,25,284,1,1,1,Nickel battery - metal hydride,
,25325,65,175,240,2400,19200,78,240,heavy,50,60,114,2,2,1,Nickel-iron battery,
,25054,34,566,600,2400,19200,75,257,smooth,43,7,134,1,1,2,Acid battery,
,25170,44,76,120,1920,15360,44,444,semi-heavy,50,77,160,2,2,1,On-air battery,
,25227,38,202,240,1920,15360,73,313,smooth,20,72,252,2,1,2,Aluminum battery - air,
,25345,68,232,300,4500,36000,62,241,smooth,39,63,51,2,1,1,Molten salt battery,
,25438,37,167,204,2856,22848,64,440,heavy,48,39,62,2,1,2,Zinc-bromine battery,
,25428,70,530,600,4800,38400,50,550,smooth,53,25,296,1,2,3,Oxidation battery ‌ Vanadium reduction,
,25445,73,227,300,2400,19200,94,235,semi-heavy,58,56,125,2,1,1,Nickel-Cadmium battery,
,25354,80,40,120,240,1920,43,298,smooth,30,47,147,1,1,3,Nickel battery - metal hydride,
,25279,31,209,240,2640,21120,40,283,heavy,45,25,187,1,1,2,Nickel-iron battery,
,25307,65,143,208,1248,9984,36,304,semi-heavy,27,77,161,2,2,3,Acid battery,
,25388,48,72,120,720,5760,77,240,smooth,54,77,291,2,2,1,On-air battery,
,25421,79,221,300,3900,31200,31,487,semi-heavy,19,50,93,2,1,2,Aluminum battery - air,
,25296,66,174,240,720,5760,71,507,smooth,33,63,123,1,2,2,Molten salt battery,
,25159,33,87,120,720,5760,64,480,heavy,48,21,67,2,2,3,Zinc-bromine battery,
,25021,69,531,600,7200,57600,63,452,smooth,55,66,128,2,1,3,Oxidation battery ‌ Vanadium reduction,
,25039,37,171,208,3328,26624,84,453,semi-heavy,12,7,229,2,1,2,Nickel-Cadmium battery,
,25021,33,87,120,600,4800,105,262,smooth,58,20,112,1,1,3,Nickel battery - metal hydride,
,24996,63,177,240,720,5760,33,221,heavy,45,22,269,1,2,1,Nickel-iron battery,
,25029,69,51,120,1800,14400,51,548,smooth,32,35,256,1,1,3,Acid battery,
,25094,59,149,208,416,3328,33,452,semi-heavy,49,72,171,2,1,3,On-air battery,
,25088,68,532,600,7800,62400,120,413,smooth,54,26,103,1,1,2,Aluminum battery - air,
,25023,36,172,208,3120,24960,42,272,smooth,38,41,226,1,1,3,Molten salt battery,
,24747,22,218,240,2880,23040,115,340,heavy,28,59,266,1,2,2,Zinc-bromine battery,
,24550,73,527,600,3600,28800,44,233,smooth,41,16,44,1,2,2,Oxidation battery ‌ Vanadium reduction,
,24584,32,88,120,240,1920,98,243,semi-heavy,60,14,252,1,1,1,Nickel-Cadmium battery,
,24546,78,162,240,2640,21120,78,390,smooth,12,51,114,2,2,2,Nickel battery - metal hydride,
,24332,62,238,300,1800,14400,93,309,heavy,53,71,171,1,2,2,Nickel-iron battery,
,24108,36,168,204,2040,16320,103,411,semi-heavy,41,18,27,2,2,3,Acid battery,
,24001,70,530,600,7200,57600,67,485,smooth,26,40,31,1,1,1,On-air battery,
,23855,60,240,300,4800,38400,51,505,semi-heavy,37,40,26,2,1,2,Aluminum battery - air,
,22787,59,61,120,1080,8640,74,208,smooth,22,41,77,2,1,3,Molten salt battery,
,23957,48,192,240,1680,13440,64,380,heavy,41,18,159,1,2,1,Zinc-bromine battery,
,24024,43,165,208,3120,24960,104,200,smooth,18,32,298,1,2,1,Oxidation battery ‌ Vanadium reduction,
,24049,35,85,120,600,4800,63,404,semi-heavy,58,60,68,1,1,2,Nickel-Cadmium battery,
,24102,27,273,300,4800,38400,95,545,smooth,38,55,142,2,2,2,Nickel battery - metal hydride,
,24125,67,173,240,960,7680,41,531,heavy,19,63,278,2,1,1,Nickel-iron battery,
,24144,65,55,120,240,1920,50,225,smooth,57,25,148,1,1,3,Acid battery,
,24144,42,558,600,3000,24000,44,380,semi-heavy,33,35,25,1,2,3,On-air battery,
,24279,20,188,208,2704,21632,71,271,smooth,49,25,197,1,1,2,Aluminum battery - air,
,24339,28,92,120,840,6720,53,203,smooth,35,9,199,2,1,2,Molten salt battery,
,24523,40,200,240,1920,15360,108,486,heavy,26,75,105,2,1,2,Zinc-bromine battery,
,24586,75,45,120,1080,8640,114,247,smooth,37,69,139,2,1,3,Oxidation battery ‌ Vanadium reduction,
,24649,43,165,208,624,4992,61,396,semi-heavy,21,33,182,2,2,1,Nickel-Cadmium battery,
,24730,58,542,600,7800,62400,94,345,smooth,51,34,24,2,1,2,Nickel battery - metal hydride,
,25055,37,171,208,1040,8320,117,332,heavy,13,7,174,1,2,2,Nickel-iron battery,
,25384,42,198,240,2400,19200,107,321,semi-heavy,37,25,124,2,1,3,Acid battery,
,25659,21,579,600,5400,43200,31,301,smooth,12,55,264,1,2,1,On-air battery,
,25791,54,66,120,720,5760,77,387,semi-heavy,38,44,44,2,1,1,Aluminum battery - air,
,25569,23,217,240,2400,19200,43,339,smooth,56,31,177,1,1,3,Molten salt battery,
,25735,33,267,300,3600,28800,83,263,heavy,53,39,291,1,1,3,Zinc-bromine battery,
,25889,54,150,204,2652,21216,104,389,smooth,30,22,156,1,2,1,Oxidation battery ‌ Vanadium reduction,
,26283,50,550,600,3600,28800,33,519,semi-heavy,49,50,65,1,2,2,Nickel-Cadmium battery,
,26217,25,275,300,3000,24000,103,210,smooth,18,47,57,1,1,1,Nickel battery - metal hydride,
,26470,34,86,120,1080,8640,95,231,heavy,47,33,285,2,2,2,Nickel-iron battery,
,26556,61,179,240,3360,26880,90,510,smooth,13,20,145,1,1,2,Acid battery,
,26514,31,177,208,2704,21632,76,247,semi-heavy,21,68,162,2,1,1,On-air battery,
,26875,22,98,120,360,2880,49,345,smooth,37,69,135,1,2,1,Aluminum battery - air,
,27127,63,237,300,1500,12000,39,302,smooth,58,77,205,2,2,1,Molten salt battery,
,27080,63,177,240,2640,21120,37,326,heavy,19,53,38,1,2,3,Zinc-bromine battery,
,27440,69,51,120,360,2880,68,508,smooth,46,78,283,1,2,1,Oxidation battery ‌ Vanadium reduction,
,28132,54,546,600,2400,19200,96,470,semi-heavy,10,27,188,1,2,2,Nickel-Cadmium battery,
,28828,51,157,208,3328,26624,37,206,smooth,12,6,295,2,2,1,Nickel battery - metal hydride,
,29207,33,87,120,1800,14400,103,238,heavy,55,63,230,1,2,3,Nickel-iron battery,
,28788,48,192,240,3360,26880,39,506,semi-heavy,19,38,103,1,2,2,Acid battery,
,28667,25,95,120,1440,11520,110,431,smooth,30,66,250,1,1,2,On-air battery,
,29098,38,170,208,624,4992,91,231,semi-heavy,19,62,292,1,2,3,Aluminum battery - air,
,28862,44,556,600,3600,28800,104,367,smooth,36,12,266,2,2,2,Molten salt battery,
,28858,45,163,208,2912,23296,94,536,heavy,48,8,110,1,1,3,Zinc-bromine battery,
,29014,57,183,240,3600,28800,98,229,smooth,57,17,211,2,2,2,Oxidation battery ‌ Vanadium reduction,
,29032,57,543,600,3600,28800,33,549,semi-heavy,42,15,138,2,2,1,Nickel-Cadmium battery,
,28845,78,42,120,720,5760,76,443,smooth,27,30,138,1,2,3,Nickel battery - metal hydride,
,28557,49,191,240,2640,21120,34,538,heavy,39,9,267,2,2,2,Nickel-iron battery,
,28656,22,278,300,1500,12000,80,259,smooth,54,33,155,2,1,2,Acid battery,
,28981,75,129,204,612,4896,76,485,semi-heavy,29,66,88,2,2,2,On-air battery,
,29248,47,553,600,6000,48000,38,511,smooth,51,56,288,2,2,3,Aluminum battery - air,
,29502,47,253,300,2400,19200,69,486,smooth,10,11,277,1,1,2,Molten salt battery,
,29992,43,77,120,1920,15360,91,352,heavy,43,37,98,1,1,1,Zinc-bromine battery,
,30211,64,176,240,3840,30720,54,369,smooth,32,77,164,2,1,2,Oxidation battery ‌ Vanadium reduction,
,30671,36,172,208,1456,11648,53,427,semi-heavy,37,71,287,1,1,3,Nickel-Cadmium battery,
,30615,23,97,120,960,7680,67,464,smooth,20,54,127,1,2,1,Nickel battery - metal hydride,
,30749,71,229,300,900,7200,52,545,heavy,43,29,70,1,1,3,Nickel-iron battery,
,31121,40,200,240,2400,19200,31,307,semi-heavy,17,74,209,2,2,1,Acid battery,
,31160,63,57,120,1080,8640,61,347,smooth,24,21,199,1,1,1,On-air battery,
,31221,60,540,600,5400,43200,43,264,semi-heavy,43,50,214,1,1,3,Aluminum battery - air,
,31331,42,166,208,624,4992,36,311,smooth,16,5,120,1,2,2,Molten salt battery,
,31082,57,63,120,240,1920,105,488,heavy,50,49,266,2,1,1,Zinc-bromine battery,
,31205,32,208,240,3360,26880,67,355,smooth,32,29,36,2,1,3,Oxidation battery ‌ Vanadium reduction,
,30736,65,55,120,480,3840,112,543,semi-heavy,24,6,72,2,2,2,Nickel-Cadmium battery,
,30940,55,153,208,1872,14976,44,419,smooth,48,11,165,1,2,2,Nickel battery - metal hydride,
,31282,78,522,600,9000,72000,86,337,heavy,60,74,161,1,1,1,Nickel-iron battery,
,31220,34,174,208,2288,18304,31,231,smooth,15,21,287,2,2,3,Acid battery,
,31015,68,172,240,720,5760,64,264,semi-heavy,44,18,166,2,1,2,On-air battery,
,30978,42,558,600,3600,28800,117,533,smooth,35,24,78,1,2,1,Aluminum battery - air,
,31215,67,53,120,1320,10560,56,536,smooth,12,46,142,1,1,2,Molten salt battery,
,31336,23,217,240,2400,19200,93,234,heavy,56,26,50,1,2,2,Zinc-bromine battery,
,31260,64,236,300,4800,38400,118,482,smooth,49,25,33,1,1,2,Oxidation battery ‌ Vanadium reduction,
,31271,51,153,204,2448,19584,100,468,semi-heavy,29,10,286,1,2,2,Nickel-Cadmium battery,
,31096,67,533,600,4200,33600,73,487,smooth,25,39,120,2,2,3,Nickel battery - metal hydride,
,31140,57,243,300,4800,38400,102,469,heavy,38,70,224,1,2,2,Nickel-iron battery,
,31259,76,44,120,240,1920,53,243,semi-heavy,33,40,71,1,2,3,Acid battery,
,31608,80,160,240,1920,15360,93,333,smooth,12,35,203,1,1,1,On-air battery,
,32018,72,136,208,624,4992,41,391,semi-heavy,28,52,53,1,2,1,Aluminum battery - air,
,32339,22,98,120,1920,15360,119,425,smooth,32,42,42,1,1,2,Molten salt battery,
,32741,49,251,300,2100,16800,82,268,heavy,22,56,22,1,1,3,Zinc-bromine battery,
,33113,25,215,240,2160,17280,80,403,smooth,56,36,135,2,2,1,Oxidation battery ‌ Vanadium reduction,
,33015,44,76,120,1560,12480,86,328,semi-heavy,59,36,182,1,2,3,Nickel-Cadmium battery,
,33017,25,575,600,4200,33600,100,395,smooth,43,42,137,1,1,3,Nickel battery - metal hydride,
,33030,71,137,208,1872,14976,34,452,heavy,47,28,91,1,2,1,Nickel-iron battery,
,33080,38,82,120,360,2880,31,458,smooth,13,5,215,1,2,3,Acid battery,
,33760,28,212,240,2160,17280,52,517,semi-heavy,14,10,26,1,2,1,On-air battery,
,33879,69,51,120,1440,11520,34,529,smooth,16,43,41,1,1,3,Aluminum battery - air,
,33770,57,151,208,2496,19968,108,212,smooth,39,61,76,1,1,2,Molten salt battery,
,33800,75,525,600,6600,52800,37,398,heavy,35,56,28,2,2,3,Zinc-bromine battery,
,33849,79,129,208,2912,23296,101,460,smooth,24,42,57,2,1,1,Oxidation battery ‌ Vanadium reduction,
,33910,36,204,240,3600,28800,115,303,semi-heavy,12,52,100,1,2,3,Nickel-Cadmium battery,
,36040,31,569,600,3600,28800,108,488,smooth,53,66,116,2,1,3,Nickel battery - metal hydride,
,36829,47,73,120,960,7680,39,232,heavy,44,13,179,1,1,1,Nickel-iron battery,
,37530,41,199,240,3360,26880,54,518,semi-heavy,48,19,169,2,2,1,Acid battery,
,37366,24,276,300,600,4800,116,431,smooth,37,16,60,2,1,3,On-air battery,
,37798,58,146,204,1632,13056,42,201,semi-heavy,35,5,95,2,1,3,Aluminum battery - air,
,37622,73,527,600,5400,43200,100,491,smooth,56,16,86,1,1,1,Molten salt battery,
,73117,49,251,300,1800,14400,51,497,heavy,28,16,175,2,1,2,Zinc-bromine battery,
,37860,46,74,120,480,3840,82,244,smooth,22,45,258,1,1,3,Oxidation battery ‌ Vanadium reduction,
,37987,32,208,240,1200,9600,86,330,semi-heavy,60,40,226,2,2,1,Nickel-Cadmium battery,
,37648,54,154,208,624,4992,30,383,smooth,10,43,290,2,2,3,Nickel battery - metal hydride,
,37059,72,48,120,240,1920,37,516,heavy,59,72,21,2,2,3,Nickel-iron battery,
,37077,77,223,300,900,7200,98,264,smooth,47,11,266,1,1,1,Acid battery,
,37314,78,162,240,3600,28800,34,209,semi-heavy,39,46,256,2,2,1,On-air battery,
,37441,68,52,120,1680,13440,81,384,smooth,22,21,249,1,1,3,Aluminum battery - air,
,37786,58,542,600,7800,62400,118,471,smooth,24,50,233,1,2,1,Molten salt battery,
,37082,24,184,208,2496,19968,56,375,heavy,14,42,236,1,1,1,Zinc-bromine battery,
,38322,25,95,120,1200,9600,62,376,smooth,26,71,182,2,1,1,Oxidation battery ‌ Vanadium reduction,
,38343,41,199,240,1920,15360,98,535,semi-heavy,13,71,151,2,1,3,Nickel-Cadmium battery,
,37898,34,86,120,600,4800,63,401,smooth,16,11,231,2,1,3,Nickel battery - metal hydride,
,37627,71,137,208,624,4992,115,500,heavy,58,67,242,1,2,1,Nickel-iron battery,
,37284,30,570,600,4800,38400,90,428,semi-heavy,16,59,212,2,2,2,Acid battery,
,36594,72,136,208,2288,18304,109,325,smooth,20,68,50,1,2,1,On-air battery,
,37233,75,165,240,3360,26880,33,547,semi-heavy,10,36,37,1,1,1,Aluminum battery - air,
,37409,24,576,600,1800,14400,37,445,smooth,58,70,112,1,1,3,Molten salt battery,
,36723,70,50,120,240,1920,66,365,heavy,14,5,54,1,1,2,Zinc-bromine battery,
,36740,34,206,240,3840,30720,57,510,smooth,12,12,36,2,2,1,Oxidation battery ‌ Vanadium reduction,
,37120,45,255,300,1800,14400,32,288,semi-heavy,55,51,104,2,2,1,Nickel-Cadmium battery,
,37000,34,170,204,2856,22848,73,400,smooth,47,74,268,1,2,1,Nickel battery - metal hydride,
,36920,53,547,600,6600,52800,112,538,heavy,53,9,173,2,2,1,Nickel-iron battery,
,36470,35,265,300,3600,28800,30,437,smooth,48,12,20,2,1,2,Acid battery,
,37100,67,53,120,1320,10560,90,388,semi-heavy,50,27,279,1,2,1,On-air battery,
,37110,62,178,240,1440,11520,120,538,smooth,48,30,95,2,2,2,Aluminum battery - air,
,36674,23,185,208,1248,9984,41,285,smooth,50,25,55,1,1,1,Molten salt battery,
,36554,68,52,120,840,6720,92,227,heavy,51,40,137,1,1,2,Zinc-bromine battery,
,36801,71,229,300,3900,31200,70,266,smooth,22,41,229,2,1,3,Oxidation battery ‌ Vanadium reduction,
,36761,43,197,240,960,7680,50,411,semi-heavy,27,71,205,2,2,2,Nickel-Cadmium battery,
,36447,44,76,120,840,6720,60,407,smooth,43,78,156,2,1,2,Nickel battery - metal hydride,
,36505,39,561,600,5400,43200,68,451,heavy,50,34,28,2,1,1,Nickel-iron battery,
,36913,27,181,208,2912,23296,85,307,semi-heavy,15,63,106,2,1,3,Acid battery,
,38205,40,80,120,1560,12480,82,265,smooth,60,46,155,2,2,1,On-air battery,
,38300,80,160,240,960,7680,42,493,semi-heavy,52,72,164,2,2,2,Aluminum battery - air,
,38640,30,90,120,1440,11520,105,487,smooth,52,60,118,2,1,3,Molten salt battery,
,38720,44,164,208,2496,19968,38,215,heavy,34,27,43,1,1,2,Zinc-bromine battery,
,38655,43,557,600,6600,52800,39,252,smooth,41,49,242,2,1,2,Oxidation battery ‌ Vanadium reduction,
,38710,27,181,208,3120,24960,58,407,semi-heavy,17,72,96,1,2,2,Nickel-Cadmium battery,
,38740,34,206,240,960,7680,40,296,smooth,23,79,178,2,1,2,Nickel battery - metal hydride,
,38720,58,542,600,3000,24000,38,323,heavy,50,72,142,2,1,3,Nickel-iron battery,
,38479,64,56,120,720,5760,87,205,smooth,56,63,159,1,2,3,Acid battery,
,38325,66,174,240,1680,13440,98,315,semi-heavy,34,22,183,1,1,2,On-air battery,
,37931,45,255,300,4500,36000,115,548,smooth,14,58,260,1,2,2,Aluminum battery - air,
,37820,47,157,204,1836,14688,44,477,smooth,60,70,183,1,2,1,Molten salt battery,
,37440,80,520,600,3600,28800,33,288,heavy,47,65,241,2,1,1,Zinc-bromine battery,
,37200,56,244,300,3600,28800,71,448,smooth,34,33,79,1,1,2,Oxidation battery ‌ Vanadium reduction,
,37350,79,41,120,480,3840,114,364,semi-heavy,28,34,185,2,1,2,Nickel-Cadmium battery,
,37573,39,201,240,2640,21120,94,225,smooth,16,38,296,2,2,3,Nickel battery - metal hydride,
,37811,64,144,208,624,4992,110,381,heavy,37,10,227,2,2,1,Nickel-iron battery,
,37437,74,46,120,1920,15360,109,313,semi-heavy,59,55,231,1,2,3,Acid battery,
,37156,38,262,300,1500,12000,78,284,smooth,15,30,73,2,2,2,On-air battery,
,37135,27,213,240,480,3840,46,216,semi-heavy,33,66,95,1,2,3,Aluminum battery - air,
,36950,77,43,120,360,2880,68,423,smooth,59,20,20,2,1,3,Molten salt battery,
,36925,60,540,600,4800,38400,61,279,heavy,57,19,293,1,2,2,Zinc-bromine battery,
,36585,47,161,208,416,3328,81,466,smooth,19,58,100,1,1,3,Oxidation battery ‌ Vanadium reduction,
,37101,21,99,120,840,6720,72,513,semi-heavy,30,16,193,2,1,2,Nickel-Cadmium battery,
,37193,33,207,240,1440,11520,46,279,smooth,53,58,267,2,1,3,Nickel battery - metal hydride,
,37265,28,92,120,840,6720,75,300,heavy,52,50,102,1,2,2,Nickel-iron battery,
,37998,42,166,208,3328,26624,31,274,smooth,22,67,122,2,2,2,Acid battery,
,37854,25,575,600,7800,62400,95,392,semi-heavy,17,52,275,1,1,3,On-air battery,
,37516,65,143,208,2496,19968,100,455,smooth,14,60,245,2,1,2,Aluminum battery - air,
,38040,77,163,240,1440,11520,108,396,smooth,21,74,241,2,1,1,Molten salt battery,
,38602,25,575,600,4200,33600,104,423,heavy,49,59,146,2,2,2,Zinc-bromine battery,
,39351,28,92,120,1080,8640,60,373,smooth,46,56,133,2,1,1,Oxidation battery ‌ Vanadium reduction,
,39741,32,208,240,960,7680,50,413,semi-heavy,51,33,291,1,2,1,Nickel-Cadmium battery,
,39714,52,248,300,1200,9600,36,417,smooth,21,18,20,1,2,1,Nickel battery - metal hydride,
,39990,20,184,204,1428,11424,104,349,heavy,26,18,21,2,1,2,Nickel-iron battery,
,40151,57,543,600,4200,33600,30,253,semi-heavy,47,55,186,2,1,3,Acid battery,
,40134,77,223,300,4500,36000,69,440,smooth,60,25,201,1,2,2,On-air battery,
,39915,55,65,120,1800,14400,89,276,semi-heavy,30,37,100,2,2,3,Aluminum battery - air,
,40068,26,214,240,960,7680,83,271,smooth,40,12,131,1,2,2,Molten salt battery,
,40606,27,181,208,1040,8320,33,378,heavy,50,22,180,2,1,1,Zinc-bromine battery,
,40533,74,46,120,480,3840,92,432,smooth,60,53,299,2,1,2,Oxidation battery ‌ Vanadium reduction,
,40255,51,249,300,2700,21600,66,479,semi-heavy,17,24,94,2,1,2,Nickel-Cadmium battery,
,40631,75,165,240,960,7680,38,526,smooth,45,68,41,2,1,3,Nickel battery - metal hydride,
,40834,66,54,120,1920,15360,79,410,heavy,22,75,91,2,2,1,Nickel-iron battery,
,40747,26,574,600,1200,9600,108,260,smooth,10,7,73,1,2,2,Acid battery,
,40550,25,183,208,1664,13312,57,537,semi-heavy,26,58,268,1,1,3,On-air battery,
,40506,48,72,120,1440,11520,31,383,smooth,34,43,44,2,1,1,Aluminum battery - air,
,41133,22,218,240,2640,21120,83,272,smooth,31,43,49,1,1,3,Molten salt battery,
,41583,72,48,120,840,6720,105,312,heavy,50,48,186,2,2,1,Zinc-bromine battery,
,42052,40,168,208,1248,9984,88,343,smooth,53,59,297,2,1,1,Oxidation battery ‌ Vanadium reduction,
,42334,35,565,600,4200,33600,68,327,semi-heavy,50,12,46,2,2,2,Nickel-Cadmium battery,
,42507,32,176,208,2288,18304,48,425,smooth,51,23,52,1,2,3,Nickel battery - metal hydride,
,43192,63,177,240,2640,21120,99,200,heavy,19,68,98,2,1,2,Nickel-iron battery,
,43994,45,555,600,8400,67200,118,245,semi-heavy,37,7,132,1,2,3,Acid battery,
,44537,45,75,120,840,6720,42,414,smooth,39,53,59,2,1,3,On-air battery,
,44993,43,197,240,2160,17280,62,299,semi-heavy,52,28,263,1,1,1,Aluminum battery - air,
,44897,34,266,300,2700,21600,65,229,smooth,12,75,223,1,1,3,Molten salt battery,
,44943,55,149,204,816,6528,72,521,heavy,21,7,138,1,1,1,Zinc-bromine battery,
,44707,69,531,600,7200,57600,47,333,smooth,55,20,232,2,2,3,Oxidation battery ‌ Vanadium reduction,
,44683,60,240,300,3600,28800,90,317,semi-heavy,28,36,264,2,1,3,Nickel-Cadmium battery,
,45091,39,81,120,840,6720,78,248,smooth,29,30,213,2,1,1,Nickel battery - metal hydride,
,45512,48,192,240,1920,15360,60,423,heavy,43,62,297,1,1,2,Nickel-iron battery,
,44963,64,144,208,2912,23296,109,220,smooth,34,13,178,1,2,3,Acid battery,
,44129,67,53,120,360,2880,103,312,semi-heavy,45,8,198,2,2,3,On-air battery,
,43864,69,231,300,1200,9600,117,276,smooth,51,46,48,1,2,1,Aluminum battery - air,
,43301,25,215,240,1200,9600,83,341,smooth,51,66,72,2,1,3,Molten salt battery,
,42795,42,78,120,360,2880,100,537,heavy,17,32,60,2,2,1,Zinc-bromine battery,
